module,class_name,node_id,iso_class,iso_node_id
nodes_flux,FluxGuidance,FluxGuidance,FluxGuidance_ISO,FluxGuidance_ISO
nodes_flux,FluxDisableGuidance,FluxDisableGuidance,FluxDisableGuidance_ISO,FluxDisableGuidance_ISO
nodes_flux,FluxKontextImageScale,FluxKontextImageScale,FluxKontextImageScale_ISO,FluxKontextImageScale_ISO
nodes_flux,FluxKontextMultiReferenceLatentMethod,FluxKontextMultiReferenceLatentMethod,FluxKontextMultiReferenceLatentMethod_ISO,FluxKontextMultiReferenceLatentMethod_ISO
nodes_flux,Flux2Scheduler,Flux2Scheduler,Flux2Scheduler_ISO,Flux2Scheduler_ISO
nodes_fresca,FreSca,FreSca,FreSca_ISO,FreSca_ISO
nodes_gits,GITSScheduler,GITSScheduler,GITSScheduler_ISO,GITSScheduler_ISO
nodes_hidream,QuadrupleCLIPLoader,QuadrupleCLIPLoader,QuadrupleCLIPLoader_ISO,QuadrupleCLIPLoader_ISO
nodes_hidream,CLIPTextEncodeHiDream,CLIPTextEncodeHiDream,CLIPTextEncodeHiDream_ISO,CLIPTextEncodeHiDream_ISO
nodes_hunyuan,CLIPTextEncodeHunyuanDiT,CLIPTextEncodeHunyuanDiT,CLIPTextEncodeHunyuanDiT_ISO,CLIPTextEncodeHunyuanDiT_ISO
nodes_hunyuan,EmptyHunyuanLatentVideo,EmptyHunyuanLatentVideo,EmptyHunyuanLatentVideo_ISO,EmptyHunyuanLatentVideo_ISO
nodes_hunyuan,EmptyHunyuanVideo15Latent,EmptyHunyuanVideo15Latent,EmptyHunyuanVideo15Latent_ISO,EmptyHunyuanVideo15Latent_ISO
nodes_hunyuan,HunyuanVideo15ImageToVideo,HunyuanVideo15ImageToVideo,HunyuanVideo15ImageToVideo_ISO,HunyuanVideo15ImageToVideo_ISO
nodes_hunyuan,HunyuanVideo15SuperResolution,HunyuanVideo15SuperResolution,HunyuanVideo15SuperResolution_ISO,HunyuanVideo15SuperResolution_ISO
nodes_hunyuan,LatentUpscaleModelLoader,LatentUpscaleModelLoader,LatentUpscaleModelLoader_ISO,LatentUpscaleModelLoader_ISO
